Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
44.63,45.72,44.05,44.2,6474100.0,0.0,1.0,44.63,45.72,44.05,44.2,6474100.0
43.93,45.35,43.88,45.04,5525100.0,0.0,1.0,43.93,45.35,43.88,45.04,5525100.0
44.9,44.94,44.2,44.27,3625100.0,0.0,1.0,44.9,44.94,44.2,44.27,3625100.0
44.19,44.43,44.12,44.12,3050400.0,0.0,1.0,44.19,44.43,44.12,44.12,3050400.0
43.88,43.9,43.51,43.73,3604300.0,0.0,1.0,43.88,43.9,43.51,43.73,3604300.0
43.6,43.77,43.3301,43.72,3323900.0,0.0,1.0,43.6,43.77,43.3301,43.72,3323900.0
43.61,44.27,42.94,43.77,5374100.0,0.0,1.0,43.61,44.27,42.94,43.77,5374100.0
43.74,43.97,43.22,43.42,3517700.0,0.0,1.0,43.74,43.97,43.22,43.42,3517700.0
43.32,43.32,42.27,42.37,5871900.0,0.0,1.0,43.32,43.32,42.27,42.37,5871900.0
42.54,42.8,42.08,42.31,3092200.0,0.0,1.0,42.54,42.8,42.08,42.31,3092200.0
42.3,42.63,42.26,42.37,2860700.0,0.0,1.0,42.3,42.63,42.26,42.37,2860700.0
41.91,43.0,41.91,42.79,3653900.0,0.0,1.0,41.91,43.0,41.91,42.79,3653900.0
42.39,42.71,41.96,42.49,3874200.0,0.0,1.0,42.39,42.71,41.96,42.49,3874200.0
42.44,42.81,42.04,42.7,3369200.0,0.0,1.0,42.44,42.81,42.04,42.7,3369200.0
42.52,42.97,41.75,41.84,4429000.0,0.0,1.0,42.52,42.97,41.75,41.84,4429000.0
42.0,42.05,41.04,41.51,4027100.0,0.0,1.0,42.0,42.05,41.04,41.51,4027100.0
41.55,43.65,41.51,43.62,7939800.0,0.0,1.0,41.55,43.65,41.51,43.62,7939800.0
43.5,44.3,43.45,43.73,6141500.0,0.0,1.0,43.5,44.3,43.45,43.73,6141500.0
43.45,43.49,42.83,42.96,3884200.0,0.0,1.0,43.45,43.49,42.83,42.96,3884200.0
42.99,43.2,42.81,42.95,3288700.0,0.0,1.0,42.99,43.2,42.81,42.95,3288700.0
42.72,44.96,42.69,44.5,8779400.0,0.0,1.0,42.72,44.96,42.69,44.5,8779400.0
44.17,44.38,43.44,43.93,4505200.0,0.0,1.0,44.17,44.38,43.44,43.93,4505200.0
43.88,44.73,42.82,43.1,6318000.0,0.0,1.0,43.88,44.73,42.82,43.1,6318000.0
43.2,43.59,42.65,42.71,4587900.0,0.0,1.0,43.2,43.59,42.65,42.71,4587900.0
42.8,42.92,42.12,42.8,4111700.0,0.0,1.0,42.8,42.92,42.12,42.8,4111700.0
42.63,43.43,42.17,42.75,3440300.0,0.0,1.0,42.63,43.43,42.17,42.75,3440300.0
42.65,43.01,41.77,41.87,3472000.0,0.0,1.0,42.65,43.01,41.77,41.87,3472000.0
41.85,42.64,41.25,41.25,5313800.0,0.0,1.0,41.85,42.64,41.25,41.25,5313800.0
41.2,42.27,40.5,42.08,5838000.0,0.0,1.0,41.2,42.27,40.5,42.08,5838000.0
41.97,42.62,41.55,42.19,3145400.0,0.0,1.0,41.97,42.62,41.55,42.19,3145400.0
42.45,43.42,42.4,43.34,5616400.0,0.0,1.0,42.45,43.42,42.4,43.34,5616400.0
43.26,43.73,42.82,43.16,4173500.0,0.0,1.0,43.26,43.73,42.82,43.16,4173500.0
43.25,43.74,42.99,43.37,3239700.0,0.0,1.0,43.25,43.74,42.99,43.37,3239700.0
43.38,44.8,43.13,44.79,6392800.0,0.0,1.0,43.38,44.8,43.13,44.79,6392800.0
44.65,45.84,44.6,45.3,6056000.0,0.0,1.0,44.65,45.84,44.6,45.3,6056000.0
45.33,46.59,45.16,46.01,5829200.0,0.0,1.0,45.33,46.59,45.16,46.01,5829200.0
46.0,46.12,44.5,44.93,6521500.0,0.0,1.0,46.0,46.12,44.5,44.93,6521500.0
44.91,45.29,43.89,44.49,6452700.0,0.0,1.0,44.91,45.29,43.89,44.49,6452700.0
44.56,44.81,43.33,44.01,6192900.0,0.0,1.0,44.56,44.81,43.33,44.01,6192900.0
44.27,44.61,43.38,43.72,3392500.0,0.0,1.0,44.27,44.61,43.38,43.72,3392500.0
43.82,44.38,43.58,43.76,3680300.0,0.0,1.0,43.82,44.38,43.58,43.76,3680300.0
43.92,44.32,43.23,43.4,5301800.0,0.0,1.0,43.92,44.32,43.23,43.4,5301800.0
42.91,43.68,42.44,42.55,5704200.0,0.0,1.0,42.91,43.68,42.44,42.55,5704200.0
42.43,42.98,41.9,42.62,3832800.0,0.0,1.0,42.43,42.98,41.9,42.62,3832800.0
43.0,43.87,42.34,43.79,4577600.0,0.0,1.0,43.0,43.87,42.34,43.79,4577600.0
